Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2019,1,1104,82,1380,62,H,0,27,55,9,24,19,28,16,29,17,20,3,6,24,21,55,3,17,17,30,11,20,8,15,7,2,28
2019,1,1113,102,1168,94,H,0,33,78,10,26,26,44,20,38,11,17,3,2,26,34,74,7,24,19,26,7,35,7,17,7,3,36
2019,1,1119,73,1265,69,H,0,22,51,9,30,20,29,6,22,14,6,5,1,22,27,52,3,15,12,24,9,27,8,12,4,0,23
2019,1,1120,101,1375,58,H,0,38,74,18,38,7,14,19,23,24,13,9,8,21,17,46,7,22,17,22,8,19,9,22,4,5,17
2019,1,1123,86,1232,69,H,0,32,65,7,19,15,20,16,26,14,9,7,5,18,26,67,6,12,11,18,18,20,11,11,6,5,20
2019,1,1130,73,1454,53,H,0,22,56,5,20,24,32,14,35,9,8,2,5,13,18,65,8,27,9,13,13,25,13,8,1,5,25
2019,1,1131,77,1318,74,A,0,29,59,6,16,13,22,13,25,10,11,7,1,21,25,56,6,25,18,24,8,22,12,10,5,1,20
2019,1,1138,82,1384,67,H,0,30,70,7,34,15,20,15,27,22,11,10,11,19,24,66,6,12,13,15,17,30,7,20,3,2,24
2019,1,1144,97,1423,93,H,0,33,72,13,33,18,24,9,25,21,7,11,3,17,29,63,15,29,20,27,12,32,18,18,3,2,20
2019,1,1148,75,1216,68,A,0,29,61,2,7,15,20,13,25,12,14,4,7,21,24,57,9,25,11,18,13,19,11,17,6,5,21
2019,1,1151,80,1150,69,A,0,26,55,11,21,17,20,9,21,10,10,5,2,22,24,50,4,16,17,23,7,24,8,13,1,6,24
2019,1,1155,100,1154,80,H,0,34,61,11,26,21,25,6,33,20,12,8,4,20,26,58,10,27,18,25,3,22,7,14,7,0,19
2019,1,1158,85,1342,73,H,0,29,70,6,23,21,26,22,26,10,8,6,5,14,26,60,7,27,14,14,8,22,11,11,1,1,18
2019,1,1165,86,1127,75,A,0,27,58,7,23,25,34,8,34,14,15,7,1,17,31,66,7,24,6,17,5,27,11,13,5,4,24
2019,1,1166,78,1442,67,H,0,29,63,11,23,9,20,11,35,14,12,8,2,12,25,69,9,29,8,9,10,30,10,11,7,8,18
2019,1,1172,83,1156,63,H,0,30,72,13,36,10,13,21,26,21,12,6,2,18,21,45,10,20,11,19,2,23,16,17,2,1,17
2019,1,1176,63,1263,50,H,0,22,53,11,25,8,11,7,30,14,9,8,7,16,18,58,8,28,6,11,14,26,10,15,2,4,14
2019,1,1181,118,1246,84,N,0,43,79,12,26,20,29,13,25,22,4,10,3,26,26,59,4,17,28,38,11,26,17,15,1,5,25
2019,1,1187,81,1175,56,H,0,26,61,8,15,21,27,14,35,18,15,13,2,17,19,57,9,34,9,18,9,25,12,20,2,3,26
2019,1,1189,62,1264,56,A,0,21,45,8,22,12,18,7,28,13,18,2,2,14,21,65,9,29,5,9,14,22,10,12,9,0,23
2019,1,1197,65,1239,50,A,0,26,53,6,13,7,9,11,25,8,23,14,4,20,15,52,1,17,19,22,14,18,7,23,12,6,16
2019,1,1199,81,1196,60,H,0,23,48,11,23,24,34,7,26,10,16,9,2,22,20,54,6,24,14,21,9,21,9,16,5,3,26
2019,1,1207,68,1271,53,H,0,23,52,9,24,13,19,7,33,15,19,8,7,13,22,63,4,23,5,9,9,24,12,16,13,1,18
2019,1,1209,74,1190,68,H,0,22,57,9,24,21,29,15,24,9,13,7,10,18,26,74,4,23,12,18,27,22,12,13,5,4,24
2019,1,1211,120,1226,79,H,0,41,70,8,24,30,37,14,28,29,7,9,4,14,32,70,6,18,9,13,12,18,16,15,5,2,25
2019,1,1221,93,1357,81,H,0,35,63,11,25,12,17,12,13,25,9,6,0,19,31,46,7,17,12,18,6,18,11,20,4,4,17
2019,1,1229,74,1195,66,H,0,25,57,7,24,17,24,10,23,15,12,8,2,18,24,54,12,29,6,12,10,25,15,22,5,0,20
2019,1,1231,104,1152,55,H,0,39,69,7,21,19,33,16,36,20,13,12,5,19,19,60,5,21,12,21,10,23,13,20,10,2,26
2019,1,1235,79,1106,53,H,0,32,67,10,26,5,7,13,29,20,14,12,5,14,20,55,9,26,4,10,9,23,11,20,4,3,17
2019,1,1242,92,1277,87,N,0,31,69,10,23,20,33,13,29,21,11,10,7,28,26,59,12,23,23,35,7,33,19,18,5,7,25
2019,1,1250,85,1284,61,A,0,29,59,11,27,16,25,11,36,15,18,7,3,23,19,56,4,21,19,24,5,23,11,16,9,5,23
2019,1,1256,71,1455,58,A,0,22,50,4,16,23,34,10,27,9,18,6,1,25,20,54,7,25,11,26,8,18,12,15,8,5,27
2019,1,1260,76,1282,45,H,0,29,53,8,22,10,21,6,42,17,14,8,5,16,17,57,6,20,5,19,8,26,7,14,11,0,20
2019,1,1261,94,1368,63,H,0,32,66,6,24,24,31,19,24,14,9,13,4,17,22,54,7,23,12,19,12,20,8,20,4,1,21
2019,1,1266,67,1420,42,H,0,24,60,8,32,11,16,13,37,12,11,2,9,16,14,62,6,28,8,12,13,25,9,13,2,1,19
2019,1,1268,73,1174,67,H,0,25,62,2,19,21,30,15,29,13,12,9,7,14,26,65,6,23,9,11,10,23,10,12,9,5,22
2019,1,1269,83,1262,75,H,0,31,61,6,20,15,27,11,31,17,15,2,4,17,28,70,6,23,13,16,13,23,20,12,8,1,26
2019,1,1272,76,1399,61,H,0,31,74,6,24,8,11,12,23,13,14,14,5,25,19,52,4,14,19,29,13,29,10,26,5,6,18
2019,1,1276,63,1313,44,H,0,22,60,6,26,13,29,17,35,16,12,3,8,18,18,59,3,12,5,11,8,32,8,13,1,3,22
2019,1,1278,104,1303,76,H,0,39,62,10,21,16,23,12,29,28,18,5,4,16,28,63,7,19,13,17,6,15,7,13,9,3,19
2019,1,1281,68,1146,55,H,0,27,64,8,26,6,13,11,34,13,11,6,2,15,20,61,10,27,5,8,6,31,10,13,6,3,16
2019,1,1283,84,1331,50,H,0,35,63,6,20,8,15,7,32,21,12,9,8,22,17,58,5,28,11,18,10,24,6,21,5,4,22
2019,1,1301,105,1291,55,H,0,41,74,10,22,13,20,19,33,18,8,12,6,13,20,61,5,21,10,16,11,19,8,18,4,3,19
2019,1,1304,106,1290,37,H,0,38,69,15,37,15,24,14,41,23,11,10,8,15,13,68,1,15,10,16,17,22,3,19,6,1,21
2019,1,1305,86,1140,70,H,0,25,66,8,28,28,39,11,37,19,8,4,4,20,26,69,6,31,12,19,9,35,17,8,4,4,27
2019,1,1307,87,1169,84,A,0,27,52,11,26,22,29,6,30,9,20,8,4,21,33,72,7,20,11,21,16,25,18,14,13,1,27
2019,1,1308,73,1295,56,H,0,29,66,5,26,10,16,15,32,8,8,5,3,14,20,56,10,27,6,9,5,26,8,11,3,3,14
2019,1,1312,81,1159,78,H,0,26,55,11,21,18,27,9,18,14,8,5,3,22,25,53,6,18,22,27,13,25,14,11,2,5,19
2019,1,1314,78,1459,67,A,0,29,59,9,22,11,15,10,25,21,15,5,2,13,24,63,9,35,10,11,9,18,8,9,5,2,15
2019,1,1323,84,1227,67,H,0,22,62,4,22,36,38,18,33,10,16,4,7,21,24,64,6,29,13,20,11,24,9,13,10,0,28
2019,1,1330,67,1298,44,H,0,20,56,10,27,17,26,13,33,15,8,8,8,19,14,56,5,21,11,18,12,29,9,14,4,1,23
2019,1,1332,84,1340,57,H,0,27,50,4,7,26,33,10,28,12,14,4,8,18,21,73,5,35,10,16,25,16,8,11,5,4,25
2019,1,1333,72,1415,59,H,0,30,59,6,15,6,11,6,29,18,7,6,4,9,22,57,8,24,7,8,6,27,10,12,5,1,15
2019,1,1334,74,1188,65,A,0,24,49,8,23,18,22,8,35,15,21,6,1,23,22,56,8,31,13,26,6,19,10,12,8,3,23
2019,1,1335,72,1206,71,A,0,29,54,8,20,6,18,8,23,15,18,6,2,19,28,60,2,8,13,16,11,25,8,17,7,5,23
2019,1,1338,69,1464,53,H,0,27,55,2,11,13,22,12,32,10,16,7,2,16,18,67,8,38,9,14,21,23,11,20,9,6,24
2019,1,1344,77,1373,67,H,0,29,53,13,25,6,7,11,20,16,15,4,2,13,23,51,12,28,9,13,9,14,16,13,6,0,12
2019,1,1345,90,1193,57,H,0,32,59,14,30,12,15,10,30,17,13,4,3,17,22,60,8,22,5,9,10,15,8,12,5,0,17
2019,1,1348,97,1136,63,H,0,35,72,13,27,14,23,17,37,21,11,7,8,21,23,68,6,34,11,26,16,26,9,15,3,3,19
2019,1,1355,79,1213,74,H,0,28,58,7,17,16,26,14,34,8,16,3,4,19,24,70,9,34,17,20,13,22,8,6,9,4,21
2019,1,1359,91,1466,74,H,0,38,61,5,13,10,16,8,38,16,17,6,5,14,24,72,14,36,12,17,13,17,12,11,11,1,16
2019,1,1360,83,1451,66,H,0,32,65,7,17,12,18,14,28,19,11,8,1,12,27,61,6,21,6,8,8,23,9,15,2,4,18
2019,1,1361,76,1115,60,H,0,24,56,12,27,16,22,10,25,18,12,9,2,14,20,56,8,28,12,14,10,27,9,18,9,2,22
2019,1,1362,76,1413,42,A,0,32,61,6,22,6,12,11,32,18,12,10,3,20,14,51,3,19,11,12,5,23,7,18,7,3,16
2019,1,1364,76,1461,66,A,0,24,47,7,19,21,27,8,32,8,18,3,3,24,21,58,5,29,19,27,10,19,9,9,7,1,20
2019,1,1371,89,1447,49,H,0,30,58,10,24,19,25,11,30,20,8,11,8,17,18,56,6,26,7,10,10,19,10,16,4,1,21
2019,1,1376,65,1367,52,H,0,19,58,0,18,27,37,19,31,6,19,11,3,13,19,58,7,28,7,10,8,26,10,22,7,3,28
2019,1,1378,80,1105,63,H,0,30,53,9,21,11,18,10,22,20,20,11,4,15,22,52,9,25,10,14,10,16,18,23,11,0,24
2019,1,1385,76,1259,55,H,0,29,65,7,22,11,15,9,26,13,18,13,2,26,15,44,3,12,22,32,7,30,7,24,11,0,17
2019,1,1387,75,1369,65,H,0,26,54,4,25,19,33,11,28,16,14,9,4,15,25,58,7,17,8,10,6,25,14,16,4,1,28
2019,1,1390,96,1370,74,H,0,29,56,11,15,27,33,10,28,12,13,4,6,23,28,64,6,18,12,21,12,18,7,11,2,1,25
2019,1,1392,77,1203,74,A,0,27,70,6,26,17,27,18,28,9,12,5,3,28,26,55,6,20,16,34,10,28,13,17,7,7,21
2019,1,1393,66,1186,34,H,0,24,62,3,17,15,28,17,37,11,10,10,4,17,13,59,6,35,2,8,14,29,11,19,4,2,23
2019,1,1396,75,1247,67,H,0,22,57,5,16,26,36,15,35,14,15,6,3,20,22,62,8,24,15,18,5,23,8,11,7,4,27
2019,1,1400,71,1183,59,H,0,26,52,8,25,11,20,6,29,20,16,7,2,17,20,56,6,23,13,18,10,24,5,19,9,4,15
2019,1,1403,87,1230,37,H,0,34,57,9,22,10,13,11,24,19,14,13,11,16,13,49,2,13,9,13,15,13,7,29,7,2,20
2019,1,1409,73,1108,56,H,0,24,49,5,19,20,32,9,25,12,13,10,4,14,19,49,9,26,9,12,7,23,8,19,10,3,24
2019,1,1411,72,1124,69,A,0,25,52,9,21,13,21,12,23,18,18,5,4,17,30,67,6,19,3,11,21,19,12,19,6,5,23
2019,1,1412,75,1273,67,H,0,21,54,4,23,29,35,14,32,8,18,8,6,25,21,59,6,26,19,25,11,23,11,18,6,0,25
2019,1,1414,86,1225,68,H,0,34,63,8,20,10,13,15,27,21,10,5,4,11,24,55,12,27,8,13,6,16,15,9,4,2,16
2019,1,1416,84,1351,70,H,0,27,59,5,22,25,45,12,35,14,11,5,10,22,27,69,7,17,9,24,16,31,15,17,6,1,32
2019,1,1417,96,1236,71,H,0,40,74,8,25,8,17,13,39,22,15,8,4,15,26,71,9,37,10,17,6,22,17,12,6,1,17
2019,1,1419,75,1238,66,A,0,24,53,11,23,16,20,11,25,14,15,7,6,16,24,56,5,19,13,19,10,22,12,12,8,5,20
2019,1,1422,74,1299,66,A,0,32,64,3,17,7,10,19,23,11,14,8,9,20,24,56,9,18,9,21,16,16,11,12,7,1,14
2019,1,1425,83,1352,62,H,0,30,57,7,13,16,25,8,34,16,15,5,5,15,24,70,5,30,9,11,11,20,16,11,6,2,23
2019,1,1429,101,1286,71,A,0,34,69,10,24,23,26,16,35,16,12,5,3,29,20,53,10,27,21,33,5,20,12,13,4,4,26
2019,1,1433,69,1205,57,H,0,25,59,7,23,12,18,17,25,14,20,10,7,18,20,52,5,16,12,20,12,20,12,21,6,5,17
2019,1,1435,92,1457,79,H,0,34,63,10,30,14,20,5,30,15,11,4,7,19,29,68,5,24,16,24,13,28,10,13,4,0,19
2019,1,1437,100,1288,77,H,0,34,67,12,37,20,27,16,29,21,14,5,9,13,33,71,5,14,6,10,10,20,21,13,10,0,24
2019,1,1438,73,1406,42,H,0,26,54,10,26,11,18,11,24,19,5,6,3,19,13,41,4,14,12,27,12,20,0,14,3,0,18
2019,1,1444,89,1178,76,H,0,31,66,8,24,19,28,22,34,20,15,3,5,21,25,70,11,33,15,27,19,19,10,9,7,1,22
2019,1,1449,73,1443,55,H,0,26,65,5,25,16,20,12,27,11,8,6,9,22,20,53,5,13,10,16,7,26,15,16,3,5,22
2019,1,1458,85,1164,63,H,0,25,61,12,32,23,26,11,26,17,5,4,8,15,21,59,11,29,10,16,12,24,9,14,3,3,26
2019,1,1462,82,1237,69,H,0,31,66,9,29,11,19,13,30,18,13,10,6,22,20,56,9,27,20,26,9,27,11,15,4,3,22
2019,2,1112,90,1223,60,H,0,28,57,6,22,28,36,14,36,13,13,6,3,20,22,69,5,22,11,27,18,21,8,12,5,0,30
2019,2,1137,88,1382,85,A,0,28,58,9,27,23,36,9,24,12,14,1,1,21,29,60,4,19,23,31,7,22,13,12,8,5,27
2019,2,1173,78,1316,70,H,0,26,60,5,12,21,27,10,27,18,6,4,1,10,25,57,8,21,12,14,6,29,10,10,1,5,18
2019,2,1177,80,1126,58,H,0,25,57,8,24,22,30,19,25,13,13,6,3,17,23,62,6,30,6,13,17,17,6,14,7,3,21
2019,2,1267,105,1184,77,A,0,38,76,8,23,21,32,16,37,19,16,6,4,26,26,80,3,27,22,36,23,26,8,17,9,5,25
2019,2,1326,64,1153,56,A,0,20,47,8,20,16,22,8,25,7,13,2,5,22,17,62,6,26,16,21,19,20,12,10,4,7,19
2019,2,1388,87,1270,65,H,0,32,60,13,31,10,13,8,24,17,5,10,2,18,27,59,4,14,7,12,12,21,10,13,2,0,13
2019,2,1389,93,1248,86,H,0,32,71,12,33,17,22,15,29,13,11,3,4,20,28,66,14,34,16,19,11,27,12,15,2,0,25
2019,2,1395,66,1167,61,H,0,23,50,3,16,17,27,6,33,16,13,1,2,16,21,58,9,24,10,14,5,24,16,10,3,4,23
2019,2,1401,98,1366,83,H,0,37,81,8,38,16,26,23,45,21,24,10,8,18,27,82,17,54,12,19,16,27,15,20,14,1,24
2019,2,1456,79,1219,69,H,0,27,55,9,25,16,23,9,28,14,15,3,7,19,26,60,6,11,11,19,12,23,7,13,9,2,20
2019,2,1460,96,1441,73,H,0,32,58,12,26,20,28,7,30,19,14,9,1,20,27,63,8,24,11,20,10,24,9,16,9,0,21
2019,3,1163,80,1287,70,H,0,31,64,7,21,11,17,14,27,14,13,6,8,20,25,62,9,28,11,15,13,23,14,17,6,4,16
2019,3,1228,99,1191,60,H,0,40,71,12,28,7,14,10,30,22,14,11,4,21,20,53,6,24,14,22,8,23,9,26,7,0,16
2019,3,1234,77,1282,63,H,0,21,47,7,25,28,38,7,31,15,16,3,6,15,23,64,9,27,8,12,12,24,10,12,11,0,27
2019,3,1257,85,1311,72,H,0,19,40,5,15,42,55,5,34,8,13,7,3,12,24,64,12,32,12,16,8,22,13,12,5,3,38
2019,3,1321,82,1309,52,H,0,25,60,11,30,21,26,16,23,16,9,7,6,18,20,49,2,10,10,22,10,22,11,15,4,1,21
2019,3,1323,89,1152,62,H,0,31,71,13,40,14,19,18,23,18,6,5,3,18,20,47,4,14,18,23,5,24,11,13,3,0,20
2019,3,1355,78,1106,61,H,0,24,53,7,22,23,25,13,28,15,11,5,2,20,22,53,9,22,8,17,8,18,5,9,5,5,22
2019,3,1373,69,1203,61,A,0,25,63,13,34,6,11,16,26,15,7,7,4,12,23,54,8,18,7,13,8,24,10,8,3,3,11
2019,3,1374,69,1322,58,H,0,25,65,9,36,10,16,21,23,17,13,10,5,16,18,46,6,21,16,24,9,24,12,18,7,3,20
